Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Offense_Total,Defense_Total,Off_Def_Ratio,Speed_Index,Bulk,Phys_Special,KMeans_label,Hierarchical_label,DBSCAN_label,Archetype
Sneasel,55,95,55,35,75,115,130,130,1.6964285714285714,2.0535714285714284,7150,60,2,5,0,Velocistas Ofensivos (1)
Teddiursa,60,80,50,50,50,40,130,100,1.5686274509803921,0.6557377049180327,6000,30,1,2,0,Equilibrados / All-Around (2)
Ursaring,90,130,75,75,75,55,205,150,1.7105263157894737,0.6043956043956044,13500,55,2,1,0,Velocistas Ofensivos (1)
Slugma,40,40,40,70,40,20,110,80,0.975609756097561,0.4878048780487805,3200,-30,1,2,0,Equilibrados / All-Around (2)
Magcargo,60,50,120,90,80,30,140,200,0.4132231404958678,0.4918032786885246,12000,-40,4,1,0,Equilibrados / All-Around (3)
Swinub,50,50,40,30,30,50,80,70,1.2195121951219512,0.9803921568627451,3500,20,1,2,0,Equilibrados / All-Around (2)
Piloswine,100,100,80,60,60,50,160,140,1.2345679012345678,0.49504950495049505,14000,40,2,1,0,Velocistas Ofensivos (1)
Corsola,65,55,95,65,95,35,120,190,0.5729166666666666,0.5303030303030303,12350,-10,4,1,0,Equilibrados / All-Around (3)
Remoraid,35,65,35,65,35,65,130,70,1.8055555555555556,1.8055555555555556,2450,0,1,3,0,Equilibrados / All-Around (2)
Octillery,75,105,75,105,75,45,210,150,1.381578947368421,0.5921052631578947,11250,0,2,0,0,Velocistas Ofensivos (1)
Delibird,45,55,45,65,45,75,120,90,1.1956521739130435,1.6304347826086956,4050,-10,1,2,0,Equilibrados / All-Around (2)
Mantine,85,40,70,80,140,70,120,210,0.5633802816901409,0.813953488372093,17850,-40,0,3,0,Equilibrados / All-Around (1)
Skarmory,65,80,140,40,70,70,120,210,0.5673758865248227,1.0606060606060606,13650,40,4,1,0,Equilibrados / All-Around (3)
Houndour,45,60,30,80,50,65,140,80,1.935483870967742,1.4130434782608696,3600,-20,1,3,0,Equilibrados / All-Around (2)
Houndoom,75,90,50,110,80,95,200,130,1.7647058823529411,1.25,9750,-20,2,3,0,Velocistas Ofensivos (1)
Kingdra,75,95,95,95,95,85,190,190,0.9895833333333334,1.118421052631579,14250,0,0,0,0,Equilibrados / All-Around (1)
Phanpy,90,60,60,40,40,40,100,100,0.9836065573770492,0.43956043956043955,9000,20,1,2,0,Equilibrados / All-Around (2)
Donphan,90,120,120,60,60,50,180,180,0.9917355371900827,0.5494505494505495,16200,60,4,1,0,Equilibrados / All-Around (3)
Porygon2,85,80,90,105,95,60,185,185,0.8791208791208791,0.6976744186046512,15725,-25,0,0,0,Equilibrados / All-Around (1)
Stantler,73,95,62,85,65,85,180,127,1.507936507936508,1.1486486486486487,9271,10,2,3,0,Velocistas Ofensivos (1)
Smeargle,55,20,35,20,45,75,40,80,0.5555555555555556,1.3392857142857142,4400,0,1,2,0,Equilibrados / All-Around (2)
Tyrogue,35,35,35,35,35,35,70,70,0.9722222222222222,0.9722222222222222,2450,0,1,2,0,Equilibrados / All-Around (2)
Hitmontop,50,95,95,35,110,70,130,205,0.9895833333333334,1.3725490196078431,10250,60,4,1,0,Equilibrados / All-Around (3)
Smoochum,45,30,15,85,65,65,115,80,1.875,1.4130434782608696,3600,-55,1,3,0,Equilibrados / All-Around (2)
Elekid,45,63,37,65,55,95,128,92,1.6578947368421053,2.0652173913043477,4140,-2,1,3,0,Equilibrados / All-Around (2)
Magby,45,75,37,70,55,83,145,92,1.9736842105263157,1.8043478260869565,4140,5,1,3,0,Equilibrados / All-Around (2)
Miltank,95,80,105,40,70,100,120,175,0.7547169811320755,1.0416666666666667,16625,40,4,1,0,Equilibrados / All-Around (3)
Blissey,255,10,10,75,135,55,85,145,0.9090909090909091,0.21484375,36975,-65,0,1,-1,Equilibrados / All-Around (1)
Raikou,90,85,75,115,100,115,200,175,1.118421052631579,1.2637362637362637,15750,-30,0,0,0,Equilibrados / All-Around (1)
Entei,115,115,85,90,75,100,205,160,1.3372093023255813,0.8620689655172413,18400,25,2,0,0,Velocistas Ofensivos (1)
Suicune,100,75,115,90,115,85,165,230,0.646551724137931,0.8415841584158416,23000,-15,4,0,0,Equilibrados / All-Around (3)
Larvitar,50,64,50,45,50,41,109,100,1.2549019607843137,0.803921568627451,5000,19,1,2,0,Equilibrados / All-Around (2)
Pupitar,70,84,70,65,70,51,149,140,1.1830985915492958,0.7183098591549296,9800,19,2,1,0,Velocistas Ofensivos (1)
Tyranitar,100,134,110,95,100,61,229,210,1.2072072072072073,0.6039603960396039,21000,39,5,1,0,Tanques
Lugia,106,90,130,90,154,110,180,284,0.6870229007633588,1.02803738317757,30104,0,5,0,0,Tanques
Ho-oh,106,130,90,110,154,90,240,244,1.4285714285714286,0.8411214953271028,25864,20,5,0,0,Tanques
Treecko,40,45,35,65,55,70,110,90,1.25,1.7073170731707317,3600,-20,1,2,0,Equilibrados / All-Around (2)
Grovyle,50,65,45,85,65,95,150,110,1.4130434782608696,1.8627450980392157,5500,-20,1,3,0,Equilibrados / All-Around (2)
Sceptile,70,85,65,105,85,120,190,150,1.2878787878787878,1.6901408450704225,10500,-20,0,3,0,Equilibrados / All-Around (1)
Torchic,45,60,40,70,50,45,130,90,1.4634146341463414,0.9782608695652174,4050,-10,1,2,0,Equilibrados / All-Around (2)
Combusken,60,85,60,85,60,55,170,120,1.3934426229508197,0.9016393442622951,7200,0,2,3,0,Velocistas Ofensivos (1)
Blaziken,80,120,70,110,70,80,230,140,1.6901408450704225,0.9876543209876543,11200,10,2,0,0,Velocistas Ofensivos (1)
Mudkip,50,70,50,50,50,40,120,100,1.3725490196078431,0.7843137254901961,5000,20,1,2,0,Equilibrados / All-Around (2)
Marshtomp,70,85,70,60,70,50,145,140,1.1971830985915493,0.704225352112676,9800,25,2,1,0,Velocistas Ofensivos (1)
Swampert,100,110,90,85,90,60,195,180,1.2087912087912087,0.594059405940594,18000,25,4,1,0,Equilibrados / All-Around (3)
Poochyena,35,55,35,30,30,35,85,65,1.5277777777777777,0.9722222222222222,2275,25,1,2,0,Equilibrados / All-Around (2)
Mightyena,70,90,70,60,60,70,150,130,1.267605633802817,0.9859154929577465,9100,30,2,3,0,Velocistas Ofensivos (1)
Zigzagoon,38,30,41,30,41,60,60,82,0.7142857142857143,1.5384615384615385,3116,0,1,2,0,Equilibrados / All-Around (2)
Linoone,78,70,61,50,61,100,120,122,1.1290322580645162,1.2658227848101267,9516,20,2,3,0,Velocistas Ofensivos (1)
Wurmple,45,45,35,20,30,20,65,65,1.25,0.43478260869565216,2925,25,1,2,0,Equilibrados / All-Around (2)
Silcoon,50,35,55,25,25,15,60,80,0.625,0.29411764705882354,4000,10,1,2,0,Equilibrados / All-Around (2)
Beautifly,60,70,50,100,50,65,170,100,1.3725490196078431,1.0655737704918034,6000,-30,1,3,0,Equilibrados / All-Around (2)
Dustox,60,50,70,50,90,65,100,160,0.704225352112676,1.0655737704918034,9600,0,1,3,0,Equilibrados / All-Around (2)
Lotad,40,30,30,40,50,30,70,80,0.967741935483871,0.7317073170731707,3200,-10,1,2,0,Equilibrados / All-Around (2)
Lombre,60,50,50,60,70,50,110,120,0.9803921568627451,0.819672131147541,7200,-10,1,3,0,Equilibrados / All-Around (2)
Ludicolo,80,70,70,90,100,70,160,170,0.9859154929577465,0.8641975308641975,13600,-20,0,3,0,Equilibrados / All-Around (1)
Seedot,40,40,50,30,30,30,70,80,0.7843137254901961,0.7317073170731707,3200,10,1,2,0,Equilibrados / All-Around (2)
Nuzleaf,70,70,40,60,40,60,130,80,1.7073170731707317,0.8450704225352113,5600,10,1,2,0,Equilibrados / All-Around (2)
Shiftry,90,100,60,90,60,80,190,120,1.639344262295082,0.8791208791208791,10800,10,2,3,0,Velocistas Ofensivos (1)
Taillow,40,55,30,30,30,85,85,60,1.7741935483870968,2.073170731707317,2400,25,1,2,0,Equilibrados / All-Around (2)
Swellow,60,85,60,75,50,125,160,110,1.3934426229508197,2.0491803278688523,6600,10,2,3,0,Velocistas Ofensivos (1)
Wingull,40,30,30,55,30,85,85,60,0.967741935483871,2.073170731707317,2400,-25,1,2,0,Equilibrados / All-Around (2)
Pelipper,60,50,100,95,70,65,145,170,0.49504950495049505,1.0655737704918034,10200,-45,0,3,0,Equilibrados / All-Around (1)
Ralts,28,25,25,45,35,40,70,60,0.9615384615384616,1.3793103448275863,1680,-20,1,2,0,Equilibrados / All-Around (2)
Kirlia,38,35,35,65,55,50,100,90,0.9722222222222222,1.2820512820512822,3420,-30,1,2,0,Equilibrados / All-Around (2)
Gardevoir,68,65,65,125,115,80,190,180,0.9848484848484849,1.1594202898550725,12240,-60,0,0,0,Equilibrados / All-Around (1)
Surskit,40,30,32,50,52,65,80,84,0.9090909090909091,1.5853658536585367,3360,-20,1,2,0,Equilibrados / All-Around (2)
Masquerain,70,60,62,100,82,80,160,144,0.9523809523809523,1.1267605633802817,10080,-40,0,3,0,Equilibrados / All-Around (1)
Shroomish,60,40,60,40,60,35,80,120,0.6557377049180327,0.5737704918032787,7200,0,1,2,0,Equilibrados / All-Around (2)
Breloom,60,130,80,60,60,70,190,140,1.6049382716049383,1.1475409836065573,8400,70,2,1,0,Velocistas Ofensivos (1)
Slakoth,60,60,60,35,35,30,95,95,0.9836065573770492,0.4918032786885246,5700,25,1,2,0,Equilibrados / All-Around (2)
Vigoroth,80,80,80,55,55,90,135,135,0.9876543209876543,1.1111111111111112,10800,25,2,3,0,Velocistas Ofensivos (1)
Slaking,150,160,100,95,65,100,255,165,1.5841584158415842,0.6622516556291391,24750,65,5,0,0,Tanques
Nincada,31,45,90,30,30,40,75,120,0.4945054945054945,1.25,3720,15,1,2,0,Equilibrados / All-Around (2)
Ninjask,61,90,45,50,50,160,140,95,1.9565217391304348,2.5806451612903225,5795,40,2,5,0,Velocistas Ofensivos (1)
Shedinja,1,90,45,30,30,40,120,75,1.9565217391304348,20.0,75,60,3,4,-1,Velocistas Ofensivos (2)
Whismur,64,51,23,51,23,28,102,46,2.125,0.4307692307692308,2944,0,1,2,0,Equilibrados / All-Around (2)
Loudred,84,71,43,71,43,48,142,86,1.6136363636363635,0.5647058823529412,7224,0,1,2,0,Equilibrados / All-Around (2)
Exploud,104,91,63,91,73,68,182,136,1.421875,0.6476190476190476,14144,0,2,0,0,Velocistas Ofensivos (1)
Makuhita,72,60,30,20,30,25,80,60,1.935483870967742,0.3424657534246575,4320,40,1,2,0,Equilibrados / All-Around (2)
Hariyama,144,120,60,40,60,50,160,120,1.9672131147540983,0.3448275862068966,17280,80,2,1,0,Velocistas Ofensivos (1)
Azurill,50,20,40,20,40,20,40,80,0.4878048780487805,0.39215686274509803,4000,0,1,2,0,Equilibrados / All-Around (2)
Nosepass,30,45,135,45,90,30,90,225,0.33088235294117646,0.967741935483871,6750,0,4,2,0,Equilibrados / All-Around (3)
Skitty,50,45,45,35,35,50,80,80,0.9782608695652174,0.9803921568627451,4000,10,1,2,0,Equilibrados / All-Around (2)
Delcatty,70,65,65,55,55,90,120,120,0.9848484848484849,1.267605633802817,8400,10,1,3,0,Equilibrados / All-Around (2)
Sableye,50,75,75,65,65,50,140,140,0.9868421052631579,0.9803921568627451,7000,10,1,1,0,Equilibrados / All-Around (2)
Mawile,50,85,85,55,55,50,140,140,0.9883720930232558,0.9803921568627451,7000,30,1,1,0,Equilibrados / All-Around (2)
Aron,50,70,100,40,40,30,110,140,0.693069306930693,0.5882352941176471,7000,30,1,2,0,Equilibrados / All-Around (2)
Lairon,60,90,140,50,50,40,140,190,0.6382978723404256,0.6557377049180327,11400,40,4,1,0,Equilibrados / All-Around (3)
Aggron,70,110,180,60,60,50,170,240,0.6077348066298343,0.704225352112676,16800,50,4,1,0,Equilibrados / All-Around (3)
Meditite,30,40,55,40,55,60,80,110,0.7142857142857143,1.935483870967742,3300,0,1,2,0,Equilibrados / All-Around (2)
Medicham,60,60,75,60,75,80,120,150,0.7894736842105263,1.3114754098360655,9000,0,1,3,0,Equilibrados / All-Around (2)
Electrike,40,45,40,65,40,65,110,80,1.0975609756097562,1.5853658536585367,3200,-20,1,2,0,Equilibrados / All-Around (2)
Manectric,70,75,60,105,60,105,180,120,1.2295081967213115,1.4788732394366197,8400,-30,0,3,0,Equilibrados / All-Around (1)
Plusle,60,50,40,85,75,95,135,115,1.2195121951219512,1.5573770491803278,6900,-35,0,3,0,Equilibrados / All-Around (1)
Minun,60,40,50,75,85,95,115,135,0.7843137254901961,1.5573770491803278,8100,-35,0,3,0,Equilibrados / All-Around (1)
Volbeat,65,73,75,47,85,85,120,160,0.9605263157894737,1.2878787878787878,10400,26,4,3,0,Equilibrados / All-Around (3)
Illumise,65,47,75,73,85,85,120,160,0.618421052631579,1.2878787878787878,10400,-26,0,3,0,Equilibrados / All-Around (1)
Roselia,50,60,45,100,80,65,160,125,1.3043478260869565,1.2745098039215685,6250,-40,0,3,0,Equilibrados / All-Around (1)
Gulpin,70,43,53,43,53,40,86,106,0.7962962962962963,0.5633802816901409,7420,0,1,2,0,Equilibrados / All-Around (2)
Swalot,100,73,83,73,83,55,146,166,0.8690476190476191,0.5445544554455446,16600,0,4,1,0,Equilibrados / All-Around (3)
Carvanha,45,90,20,65,20,65,155,40,4.285714285714286,1.4130434782608696,1800,25,2,5,-1,Velocistas Ofensivos (1)
Sharpedo,70,120,40,95,40,95,215,80,2.926829268292683,1.3380281690140845,5600,25,2,5,0,Velocistas Ofensivos (1)
Wailmer,130,70,35,70,35,60,140,70,1.9444444444444444,0.4580152671755725,9100,0,2,1,0,Velocistas Ofensivos (1)
Wailord,170,90,45,90,45,60,180,90,1.9565217391304348,0.3508771929824561,15300,0,2,1,0,Velocistas Ofensivos (1)
Numel,60,60,40,65,45,35,125,85,1.4634146341463414,0.5737704918032787,5100,-5,1,2,0,Equilibrados / All-Around (2)
Camerupt,70,100,70,105,75,40,205,145,1.408450704225352,0.5633802816901409,10150,-5,2,0,0,Velocistas Ofensivos (1)
Torkoal,70,85,140,85,70,20,170,210,0.6028368794326241,0.28169014084507044,14700,0,4,1,0,Equilibrados / All-Around (3)
Spoink,60,25,35,70,80,60,95,115,0.6944444444444444,0.9836065573770492,6900,-45,1,3,0,Equilibrados / All-Around (2)
Grumpig,80,45,65,90,110,80,135,175,0.6818181818181818,0.9876543209876543,14000,-45,0,3,0,Equilibrados / All-Around (1)
Spinda,60,60,60,60,60,60,120,120,0.9836065573770492,0.9836065573770492,7200,0,1,3,0,Equilibrados / All-Around (2)
Trapinch,45,100,45,45,45,10,145,90,2.1739130434782608,0.21739130434782608,4050,55,1,2,0,Equilibrados / All-Around (2)
Vibrava,50,70,50,50,50,70,120,100,1.3725490196078431,1.3725490196078431,5000,20,1,2,0,Equilibrados / All-Around (2)
Flygon,80,100,80,80,80,100,180,160,1.2345679012345678,1.2345679012345678,12800,20,2,1,0,Velocistas Ofensivos (1)
Cacnea,50,85,40,85,40,35,170,80,2.073170731707317,0.6862745098039216,4000,0,1,2,0,Equilibrados / All-Around (2)
Cacturne,70,115,60,115,60,55,230,120,1.8852459016393444,0.7746478873239436,8400,0,2,0,0,Velocistas Ofensivos (1)
Swablu,45,40,60,40,75,50,80,135,0.6557377049180327,1.0869565217391304,6075,0,1,2,0,Equilibrados / All-Around (2)
Altaria,75,70,90,70,105,80,140,195,0.7692307692307693,1.0526315789473684,14625,0,4,3,0,Equilibrados / All-Around (3)
Zangoose,73,115,60,60,60,90,175,120,1.8852459016393444,1.2162162162162162,8760,55,2,5,0,Velocistas Ofensivos (1)
Seviper,73,100,60,100,60,65,200,120,1.639344262295082,0.8783783783783784,8760,0,2,0,0,Velocistas Ofensivos (1)
Lunatone,90,55,65,95,85,70,150,150,0.8333333333333334,0.7692307692307693,13500,-40,0,3,0,Equilibrados / All-Around (1)
Solrock,90,95,85,55,65,70,150,150,1.1046511627906976,0.7692307692307693,13500,40,2,1,0,Velocistas Ofensivos (1)
Barboach,50,48,43,46,41,60,94,84,1.0909090909090908,1.1764705882352942,4200,2,1,2,0,Equilibrados / All-Around (2)
Whiscash,110,78,73,76,71,60,154,144,1.054054054054054,0.5405405405405406,15840,2,4,0,0,Equilibrados / All-Around (3)
Corphish,43,80,65,50,35,35,130,100,1.2121212121212122,0.7954545454545454,4300,30,1,2,0,Equilibrados / All-Around (2)
Crawdaunt,63,120,85,90,55,55,210,140,1.3953488372093024,0.859375,8820,30,2,0,0,Velocistas Ofensivos (1)
Baltoy,40,40,55,40,70,55,80,125,0.7142857142857143,1.3414634146341464,5000,0,1,2,0,Equilibrados / All-Around (2)
Claydol,60,70,105,70,120,75,140,225,0.660377358490566,1.2295081967213115,13500,0,4,1,0,Equilibrados / All-Around (3)
Lileep,66,41,77,61,87,23,102,164,0.5256410256410257,0.34328358208955223,10824,-20,1,2,0,Equilibrados / All-Around (2)
Cradily,86,81,97,81,107,43,162,204,0.826530612244898,0.4942528735632184,17544,0,4,1,0,Equilibrados / All-Around (3)
Anorith,45,95,50,40,50,75,135,100,1.8627450980392157,1.6304347826086956,4500,55,2,2,0,Velocistas Ofensivos (1)
Armaldo,75,125,100,70,80,45,195,180,1.2376237623762376,0.5921052631578947,13500,55,4,1,0,Equilibrados / All-Around (3)
Feebas,20,15,20,10,55,80,25,75,0.7142857142857143,3.8095238095238093,1500,5,1,2,0,Equilibrados / All-Around (2)
Milotic,95,60,79,100,125,81,160,204,0.75,0.84375,19380,-40,0,3,0,Equilibrados / All-Around (1)
Castform,70,70,70,70,70,70,140,140,0.9859154929577465,0.9859154929577465,9800,0,0,3,0,Equilibrados / All-Around (1)
Kecleon,60,90,70,60,120,40,150,190,1.267605633802817,0.6557377049180327,11400,30,4,1,0,Equilibrados / All-Around (3)
Shuppet,44,75,35,63,33,45,138,68,2.0833333333333335,1.0,2992,12,1,2,0,Equilibrados / All-Around (2)
Banette,64,115,65,83,63,65,198,128,1.7424242424242424,1.0,8192,32,2,1,0,Velocistas Ofensivos (1)
Duskull,20,40,90,30,90,25,70,180,0.43956043956043955,1.1904761904761905,3600,10,1,2,0,Equilibrados / All-Around (2)
Dusclops,40,70,130,60,130,25,130,260,0.5343511450381679,0.6097560975609756,10400,10,4,1,0,Equilibrados / All-Around (3)
Tropius,99,68,83,72,87,51,140,170,0.8095238095238095,0.51,16830,-4,4,1,0,Equilibrados / All-Around (3)
Chimecho,75,50,80,95,90,65,145,170,0.6172839506172839,0.8552631578947368,12750,-45,0,3,0,Equilibrados / All-Around (1)
Absol,65,130,60,75,60,75,205,120,2.1311475409836067,1.1363636363636365,7800,55,2,1,0,Velocistas Ofensivos (1)
Wynaut,95,23,48,23,48,23,46,96,0.46938775510204084,0.23958333333333334,9120,0,1,2,0,Equilibrados / All-Around (2)
Snorunt,50,50,50,50,50,50,100,100,0.9803921568627451,0.9803921568627451,5000,0,1,2,0,Equilibrados / All-Around (2)
Glalie,80,80,80,80,80,80,160,160,0.9876543209876543,0.9876543209876543,12800,0,0,3,0,Equilibrados / All-Around (1)
Spheal,70,40,50,55,50,25,95,100,0.7843137254901961,0.352112676056338,7000,-15,1,2,0,Equilibrados / All-Around (2)
Sealeo,90,60,70,75,70,45,135,140,0.8450704225352113,0.4945054945054945,12600,-15,0,1,0,Equilibrados / All-Around (1)
Walrein,110,80,90,95,90,65,175,180,0.8791208791208791,0.5855855855855856,19800,-15,0,0,0,Equilibrados / All-Around (1)
Clamperl,35,64,85,74,55,32,138,140,0.7441860465116279,0.8888888888888888,4900,-10,1,2,0,Equilibrados / All-Around (2)
Huntail,55,104,105,94,75,52,198,180,0.9811320754716981,0.9285714285714286,9900,10,4,1,0,Equilibrados / All-Around (3)
Gorebyss,55,84,105,114,75,52,198,180,0.7924528301886793,0.9285714285714286,9900,-30,0,0,0,Equilibrados / All-Around (1)
Relicanth,100,90,130,45,65,55,135,195,0.6870229007633588,0.5445544554455446,19500,45,4,1,0,Equilibrados / All-Around (3)
Luvdisc,43,30,55,40,65,97,70,120,0.5357142857142857,2.2045454545454546,5160,-10,1,2,0,Equilibrados / All-Around (2)
Bagon,45,75,60,40,30,50,115,90,1.2295081967213115,1.0869565217391304,4050,35,1,2,0,Equilibrados / All-Around (2)
Shelgon,65,95,100,60,50,50,155,150,0.9405940594059405,0.7575757575757576,9750,35,4,1,0,Equilibrados / All-Around (3)
Salamence,95,135,80,110,80,100,245,160,1.6666666666666667,1.0416666666666667,15200,25,2,0,0,Velocistas Ofensivos (1)
Beldum,40,55,80,35,60,30,90,140,0.6790123456790124,0.7317073170731707,5600,20,1,2,0,Equilibrados / All-Around (2)
Metang,60,75,100,55,80,50,130,180,0.7425742574257426,0.819672131147541,10800,20,4,1,0,Equilibrados / All-Around (3)
Metagross,80,135,130,95,90,70,230,220,1.0305343511450382,0.8641975308641975,17600,40,5,1,0,Tanques
Regirock,80,100,200,50,100,50,150,300,0.4975124378109453,0.6172839506172839,24000,50,4,1,0,Equilibrados / All-Around (3)
Regice,80,50,100,100,200,50,150,300,0.49504950495049505,0.6172839506172839,24000,-50,4,1,-1,Equilibrados / All-Around (3)
Registeel,80,75,150,75,150,50,150,300,0.4966887417218543,0.6172839506172839,24000,0,4,0,0,Equilibrados / All-Around (3)
Latias,80,80,90,110,130,110,190,220,0.8791208791208791,1.3580246913580247,17600,-30,0,0,0,Equilibrados / All-Around (1)
Latios,80,90,80,130,110,110,220,190,1.1111111111111112,1.3580246913580247,15200,-40,0,0,0,Equilibrados / All-Around (1)
Kyogre,100,100,90,150,140,90,250,230,1.098901098901099,0.8910891089108911,23000,-50,5,0,0,Tanques
Groudon,100,150,140,100,90,90,250,230,1.0638297872340425,0.8910891089108911,23000,50,5,1,0,Tanques
Rayquaza,105,150,90,150,90,95,300,180,1.6483516483516483,0.8962264150943396,18900,0,5,0,0,Tanques
Deoxys,50,150,50,150,50,150,300,100,2.9411764705882355,2.9411764705882355,5000,0,2,5,-1,Velocistas Ofensivos (1)
Deoxys,50,180,20,180,20,150,360,40,8.571428571428571,2.9411764705882355,2000,0,2,5,-1,Velocistas Ofensivos (1)
Deoxys,50,70,160,70,160,90,140,320,0.43478260869565216,1.7647058823529411,16000,0,4,1,0,Equilibrados / All-Around (3)
Deoxys,50,95,90,95,90,180,190,180,1.043956043956044,3.5294117647058822,9000,0,0,5,-1,Equilibrados / All-Around (1)
Turtwig,55,68,64,45,55,31,113,119,1.0461538461538462,0.5535714285714286,6545,23,1,2,0,Equilibrados / All-Around (2)
Grotle,75,89,85,55,65,36,144,150,1.0348837209302326,0.47368421052631576,11250,34,4,1,0,Equilibrados / All-Around (3)
Torterra,95,109,105,75,85,56,184,190,1.028301886792453,0.5833333333333334,18050,34,4,1,0,Equilibrados / All-Around (3)
Chimchar,44,58,44,58,44,61,116,88,1.288888888888889,1.3555555555555556,3872,0,1,2,0,Equilibrados / All-Around (2)
Monferno,64,78,52,78,52,81,156,104,1.471698113207547,1.2461538461538462,6656,0,2,3,0,Velocistas Ofensivos (1)
Infernape,76,104,71,104,71,108,208,142,1.4444444444444444,1.4025974025974026,10792,0,2,3,0,Velocistas Ofensivos (1)
Piplup,53,51,53,61,56,40,112,109,0.9444444444444444,0.7407407407407407,5777,-10,1,2,0,Equilibrados / All-Around (2)
Prinplup,64,66,68,81,76,50,147,144,0.9565217391304348,0.7692307692307693,9216,-15,0,3,0,Equilibrados / All-Around (1)
Empoleon,84,86,88,111,101,60,197,189,0.9662921348314607,0.7058823529411765,15876,-25,0,0,0,Equilibrados / All-Around (1)
Starly,40,55,30,30,30,60,85,60,1.7741935483870968,1.4634146341463414,2400,25,1,2,0,Equilibrados / All-Around (2)
Staravia,55,75,50,40,40,80,115,90,1.4705882352941178,1.4285714285714286,4950,35,1,2,0,Equilibrados / All-Around (2)
Staraptor,85,120,70,50,60,100,170,130,1.6901408450704225,1.1627906976744187,11050,70,2,5,0,Velocistas Ofensivos (1)
Bidoof,59,45,40,35,40,31,80,80,1.0975609756097562,0.5166666666666667,4720,10,1,2,0,Equilibrados / All-Around (2)
Bibarel,79,85,60,55,60,71,140,120,1.3934426229508197,0.8875,9480,30,2,3,0,Velocistas Ofensivos (1)
Kricketot,37,25,41,25,41,25,50,82,0.5952380952380952,0.6578947368421053,3034,0,1,2,0,Equilibrados / All-Around (2)
Kricketune,77,85,51,55,51,65,140,102,1.6346153846153846,0.8333333333333334,7854,30,2,2,0,Velocistas Ofensivos (1)
Shinx,45,65,34,40,34,45,105,68,1.8571428571428572,0.9782608695652174,3060,25,1,2,0,Equilibrados / All-Around (2)
Luxio,60,85,49,60,49,60,145,98,1.7,0.9836065573770492,5880,25,1,2,0,Equilibrados / All-Around (2)
Luxray,80,120,79,95,79,70,215,158,1.5,0.8641975308641975,12640,25,2,0,0,Velocistas Ofensivos (1)
Budew,40,30,35,50,70,55,80,105,0.8333333333333334,1.3414634146341464,4200,-20,1,2,0,Equilibrados / All-Around (2)
Roserade,60,70,65,125,105,90,195,170,1.0606060606060606,1.4754098360655739,10200,-55,0,0,0,Equilibrados / All-Around (1)
Cranidos,67,125,40,30,30,58,155,70,3.048780487804878,0.8529411764705882,4690,95,2,5,-1,Velocistas Ofensivos (1)
Rampardos,97,165,60,65,50,58,230,110,2.7049180327868854,0.5918367346938775,10670,100,2,5,0,Velocistas Ofensivos (1)
Shieldon,30,42,118,42,88,30,84,206,0.35294117647058826,0.967741935483871,6180,0,4,2,0,Equilibrados / All-Around (3)
Bastiodon,60,52,168,47,138,30,99,306,0.3076923076923077,0.4918032786885246,18360,5,4,1,0,Equilibrados / All-Around (3)
Burmy,40,29,45,29,45,36,58,90,0.6304347826086957,0.8780487804878049,3600,0,1,2,0,Equilibrados / All-Around (2)
Wormadam,60,59,85,79,105,36,138,190,0.686046511627907,0.5901639344262295,11400,-20,4,1,0,Equilibrados / All-Around (3)
Wormadam,60,79,105,59,85,36,138,190,0.7452830188679245,0.5901639344262295,11400,20,4,1,0,Equilibrados / All-Around (3)
Wormadam,60,69,95,69,95,36,138,190,0.71875,0.5901639344262295,11400,0,4,1,0,Equilibrados / All-Around (3)
Mothim,70,94,50,94,50,66,188,100,1.8431372549019607,0.9295774647887324,7000,0,2,3,0,Velocistas Ofensivos (1)
Combee,30,30,42,30,42,70,60,84,0.6976744186046512,2.2580645161290325,2520,0,1,2,0,Equilibrados / All-Around (2)
Vespiquen,70,80,102,80,102,40,160,204,0.7766990291262136,0.5633802816901409,14280,0,4,1,0,Equilibrados / All-Around (3)
Pachirisu,60,45,70,45,90,95,90,160,0.6338028169014085,1.5573770491803278,9600,0,1,3,0,Equilibrados / All-Around (2)
Buizel,55,65,35,60,30,85,125,65,1.8055555555555556,1.5178571428571428,3575,5,1,3,0,Equilibrados / All-Around (2)
Floatzel,85,105,55,85,50,115,190,105,1.875,1.3372093023255813,8925,20,2,3,0,Velocistas Ofensivos (1)
Cherubi,45,35,45,62,53,35,97,98,0.7608695652173914,0.7608695652173914,4410,-27,1,2,0,Equilibrados / All-Around (2)
Cherrim,70,60,70,87,78,85,147,148,0.8450704225352113,1.1971830985915493,10360,-27,0,3,0,Equilibrados / All-Around (1)
Shellos,76,48,48,57,62,34,105,110,0.9795918367346939,0.44155844155844154,8360,-9,1,2,0,Equilibrados / All-Around (2)
Gastrodon,111,83,68,92,82,39,175,150,1.2028985507246377,0.3482142857142857,16650,-9,0,0,0,Equilibrados / All-Around (1)
Ambipom,75,100,66,60,66,115,160,132,1.492537313432836,1.513157894736842,9900,40,2,5,0,Velocistas Ofensivos (1)
Drifloon,90,50,34,60,44,70,110,78,1.4285714285714286,0.7692307692307693,7020,-10,1,3,0,Equilibrados / All-Around (2)
Drifblim,150,80,44,90,54,80,170,98,1.7777777777777777,0.5298013245033113,14700,-10,2,1,0,Velocistas Ofensivos (1)
